design,rep,method,frobenius_relative,realized_variance,calibration
ar1_gaussian,12,structured_q0,0.5145782427717867,2.346881320950387e-06,0.9765489203104476
ar1_gaussian,12,residual_qr_50,0.5150433341588588,2.326803859525421e-06,0.9531469903793649
ar1_gaussian,13,sample,0.5234401707334134,2.250827778712748e-06,1.4234968843648115
ar1_gaussian,13,ledoit_wolf,0.5138709420030668,2.1965964500050393e-06,1.275686747199015
ar1_gaussian,13,oas,0.5136868264299492,2.195503895545186e-06,1.2726346679639808
ar1_gaussian,13,pca4,0.529736395071781,1.9059853356773652e-06,1.1109378925189501
ar1_gaussian,13,structured_q0,0.5234211419591944,1.9004078182642328e-06,1.0288422332553142
ar1_gaussian,13,residual_qr_50,0.5233387126424467,1.998944674109965e-06,1.1227922362315474
ar1_gaussian,14,sample,0.5517062791595665,1.9047584380347666e-06,1.0820927541065664
ar1_gaussian,14,ledoit_wolf,0.5498888314642176,1.8657637620520343e-06,0.9744904390377847
ar1_gaussian,14,oas,0.5498850871644138,1.8656753617122102e-06,0.974235904528892
ar1_gaussian,14,pca4,0.5515316426247474,1.6931860132353974e-06,0.8167269770144946
ar1_gaussian,14,structured_q0,0.5510197045900408,1.7020154640177616e-06,0.7685002782796674
ar1_gaussian,14,residual_qr_50,0.5512683739080548,1.74525030120304e-06,0.8533386779845896
ar1_gaussian,15,sample,0.40530200065848554,2.0788965030275182e-06,0.9530523934641181
ar1_gaussian,15,ledoit_wolf,0.39527788989141344,2.017245875478326e-06,0.870049466298613
ar1_gaussian,15,oas,0.3947817314702237,2.0141719970821373e-06,0.8656511952772047
ar1_gaussian,15,pca4,0.4115486080878279,1.80120501612825e-06,0.8179090011970354
ar1_gaussian,15,structured_q0,0.4043167400125207,1.8195716862138393e-06,0.7650270004414677
ar1_gaussian,15,residual_qr_50,0.40457865079691385,1.832042431309274e-06,0.7735611201446699
ar1_gaussian,16,sample,0.5232215509069617,2.6649489640070277e-06,1.3264831370435621
ar1_gaussian,16,ledoit_wolf,0.5272935830279252,2.624256676531932e-06,1.2148020976310723
ar1_gaussian,16,oas,0.5273877163802592,2.6232975875213396e-06,1.2120622328328274
ar1_gaussian,16,pca4,0.519126155710509,2.3910644358455508e-06,1.1357823266923874
ar1_gaussian,16,structured_q0,0.5231110983639977,2.387066766443321e-06,1.0571188699923177
ar1_gaussian,16,residual_qr_50,0.5231323727396354,2.468248611316697e-06,1.1208413849163024
ar1_gaussian,17,sample,0.6821542811220621,1.492679949959507e-06,0.9671451804298392
ar1_gaussian,17,ledoit_wolf,0.6728236116426112,1.4605164245223065e-06,0.8878223592307894
ar1_gaussian,17,oas,0.6727771723850114,1.4603484335824733e-06,0.8873919738167438
ar1_gaussian,17,pca4,0.6861160020340279,1.2651952968777939e-06,0.8331436819695254
ar1_gaussian,17,structured_q0,0.6815219836592246,1.2642851562565477e-06,0.7696266920474485
ar1_gaussian,17,residual_qr_50,0.6817298040273091,1.3263990392385905e-06,0.8076841839857037
ar1_gaussian,18,sample,0.5194812087730816,2.1716953099737636e-06,1.3317689299998943
ar1_gaussian,18,ledoit_wolf,0.5201119100286968,2.1363777615396533e-06,1.2039578273829883
ar1_gaussian,18,oas,0.5200946166555135,2.1371768719533874e-06,1.2070827272508193
ar1_gaussian,18,pca4,0.5183379578159404,2.044659657640854e-06,1.1918406567006998
ar1_gaussian,18,structured_q0,0.519022371943611,2.0277882231614653e-06,1.1041285698734271
ar1_gaussian,18,residual_qr_50,0.5192060016817875,2.0351399740807605e-06,1.1444568600712275
ar1_gaussian,19,sample,0.5321495415222642,2.4999847511055044e-06,1.4559381479504825
ar1_gaussian,19,ledoit_wolf,0.5304980116142115,2.4394136115827047e-06,1.3150794022460062
ar1_gaussian,19,oas,0.5304331216110639,2.4368850589263573e-06,1.3087985147422905
ar1_gaussian,19,pca4,0.5321834481234584,2.2307467321662253e-06,1.3423347255133702
ar1_gaussian,19,structured_q0,0.5319537684549586,2.240287569280146e-06,1.2459831975986901
ar1_gaussian,19,residual_qr_50,0.5320100746648788,2.266423001048466e-06,1.2435867919351735
ar1_gaussian,20,sample,0.3005823198450698,1.828174414873998e-06,1.0036050539624084
ar1_gaussian,20,ledoit_wolf,0.2928584368607222,1.8040316955885832e-06,0.930451252552784
ar1_gaussian,20,oas,0.2926492138924596,1.8033122265524767e-06,0.9281827454538535
ar1_gaussian,20,pca4,0.30797257914423826,1.6160071669063179e-06,0.8304428065063003
ar1_gaussian,20,structured_q0,0.29893943827905006,1.625985040968658e-06,0.7768646786237146
ar1_gaussian,20,residual_qr_50,0.29937640690056816,1.686009746154147e-06,0.8300817100627359
ar1_gaussian,21,sample,0.9288380211990551,3.376218025639674e-06,1.6007067092457405
