training_days,fold_id,date,method,gross_return
504,9,2017-04-04,ridge_10pct,0.003505980721459094
504,9,2017-04-05,ridge_10pct,-0.00013040650162055397
504,9,2017-04-06,ridge_10pct,0.00028052629195789874
504,9,2017-04-07,ridge_10pct,-0.0011741222251618944
504,9,2017-04-10,ridge_10pct,0.007362414506063239
504,9,2017-04-12,ridge_10pct,-0.0005983297346418582
504,9,2017-04-13,ridge_10pct,-0.003863618713014031
504,9,2017-04-17,ridge_10pct,0.0051624321695745755
504,9,2017-04-18,ridge_10pct,-0.003291126461277962
504,9,2017-04-19,ridge_10pct,0.0033214184097628487
504,9,2017-04-20,ridge_10pct,0.005939517304015384
504,9,2017-04-21,ridge_10pct,-0.0017523698827036733
504,9,2017-04-24,ridge_10pct,-0.00038817123602629105
504,9,2017-04-25,ridge_10pct,0.004834665942054514
504,9,2017-04-26,ridge_10pct,0.001110399326610155
504,9,2017-04-27,ridge_10pct,0.0008911395768051901
504,9,2017-04-28,ridge_10pct,-0.0068107749502545915
504,9,2017-05-02,ridge_10pct,0.0013743414135662536
504,9,2017-05-03,ridge_10pct,-0.0011277935635491815
504,9,2017-05-04,ridge_10pct,0.008980930997685101
504,9,2017-05-05,ridge_10pct,0.0037703948030291287
504,9,2017-05-08,ridge_10pct,-0.00570821838346882
504,9,2017-05-09,ridge_10pct,0.004791618116342995
504,9,2017-05-10,ridge_10pct,0.00032908699885179525
504,9,2017-05-11,ridge_10pct,-0.001268937416806942
504,9,2017-05-12,ridge_10pct,-0.004210827667763543
504,9,2017-05-16,ridge_10pct,-0.00388264458398984
504,9,2017-05-18,ridge_10pct,0.004489844327199197
504,9,2017-05-19,ridge_10pct,0.00885971565324962
504,9,2016-11-10,ledoit_wolf,-0.0030162530665303077
504,9,2016-11-11,ledoit_wolf,0.00814238876090282
504,9,2016-11-14,ledoit_wolf,-0.0020735718241146925
504,9,2016-11-15,ledoit_wolf,-0.00031832819855505347
504,9,2016-11-16,ledoit_wolf,0.009789936643377186
504,9,2016-11-17,ledoit_wolf,0.006572762672541466
504,9,2016-11-18,ledoit_wolf,-0.005592400657071386
504,9,2016-11-21,ledoit_wolf,-0.00038637578120658336
504,9,2016-11-22,ledoit_wolf,-0.005406795828751212
504,9,2016-11-23,ledoit_wolf,0.0009145573463082487
504,9,2016-11-25,ledoit_wolf,0.00647999659060692
504,9,2016-11-28,ledoit_wolf,-0.005624493237178446
504,9,2016-11-29,ledoit_wolf,-0.0014639773991065603
504,9,2016-11-30,ledoit_wolf,-0.00923737859553346
504,9,2016-12-01,ledoit_wolf,-0.00911404613939549
504,9,2016-12-02,ledoit_wolf,0.007359650371993483
504,9,2016-12-05,ledoit_wolf,0.00019869618108430266
504,9,2016-12-06,ledoit_wolf,0.0016682286951813312
504,9,2016-12-07,ledoit_wolf,0.008935460624206363
504,9,2016-12-08,ledoit_wolf,-0.003259318643349819
504,9,2016-12-09,ledoit_wolf,0.013167720927094681
504,9,2016-12-12,ledoit_wolf,0.0057664521965703685
504,9,2016-12-13,ledoit_wolf,0.0009969832430906868
504,9,2016-12-14,ledoit_wolf,-0.007565561976616231
504,9,2016-12-15,ledoit_wolf,0.005886747150872403
504,9,2016-12-16,ledoit_wolf,0.00383635627272068
504,9,2016-12-19,ledoit_wolf,0.0006844188756081374
504,9,2016-12-20,ledoit_wolf,-0.0018198826561858852
504,9,2016-12-21,ledoit_wolf,-0.0029333910356284013
504,9,2016-12-22,ledoit_wolf,-0.000979533953689958
504,9,2016-12-23,ledoit_wolf,0.0052280866013974595
504,9,2016-12-27,ledoit_wolf,0.003263654071675235
504,9,2016-12-28,ledoit_wolf,-0.005219214859932808
504,9,2016-12-29,ledoit_wolf,0.005732454548026491
504,9,2016-12-30,ledoit_wolf,-0.005013956113259886
504,9,2017-01-03,ledoit_wolf,0.002452313563157761
504,9,2017-01-04,ledoit_wolf,0.009823154829265567
504,9,2017-01-05,ledoit_wolf,0.0037279709299422284
504,9,2017-01-06,ledoit_wolf,0.004804758061070382
504,9,2017-01-09,ledoit_wolf,-0.005331041646387952
504,9,2017-01-10,ledoit_wolf,0.0004123608523148774
504,9,2017-01-11,ledoit_wolf,-0.0014991626770445307
504,9,2017-01-12,ledoit_wolf,0.009182278837868051
504,9,2017-01-13,ledoit_wolf,0.0037261458222420363
504,9,2017-01-17,ledoit_wolf,0.0054979358887607375
504,9,2017-01-18,ledoit_wolf,0.0043535747964471416
504,9,2017-01-19,ledoit_wolf,0.0015409947249614836
504,9,2017-01-20,ledoit_wolf,-0.00121783554986836
504,9,2017-01-23,ledoit_wolf,9.937254975343198e-05
504,9,2017-01-24,ledoit_wolf,-0.004817763163295722
504,9,2017-01-25,ledoit_wolf,0.0008676823725667594
504,9,2017-01-26,ledoit_wolf,0.006676497638787516
504,9,2017-01-27,ledoit_wolf,0.00044172601139435777
504,9,2017-01-30,ledoit_wolf,0.002100318670577971
504,9,2017-01-31,ledoit_wolf,0.010631314217962805
504,9,2017-02-01,ledoit_wolf,-0.0034205827383903178
504,9,2017-02-02,ledoit_wolf,0.004110611916526693
504,9,2017-02-03,ledoit_wolf,-0.003098123977517433
504,9,2017-02-06,ledoit_wolf,-0.0007187867438940128
504,9,2017-02-07,ledoit_wolf,0.0044120352790832235
504,9,2017-02-08,ledoit_wolf,0.0042626521382899555
504,9,2017-02-09,ledoit_wolf,0.004214100026872516
504,9,2017-02-10,ledoit_wolf,-0.0024401810666167764
504,9,2017-02-13,ledoit_wolf,0.0034235402501680847
504,9,2017-02-14,ledoit_wolf,-0.001928202255456796
504,9,2017-02-15,ledoit_wolf,0.004896092481819216
504,9,2017-02-16,ledoit_wolf,0.005439547453244625
504,9,2017-02-17,ledoit_wolf,0.010953962163158045
504,9,2017-02-22,ledoit_wolf,0.0012305817041234777
504,9,2017-02-23,ledoit_wolf,-0.003655961725596494
504,9,2017-02-24,ledoit_wolf,0.006808220461843827
504,9,2017-02-27,ledoit_wolf,0.002326232903189712
504,9,2017-02-28,ledoit_wolf,-0.00131309534954902
504,9,2017-03-01,ledoit_wolf,-0.0011173884044633799
504,9,2017-03-02,ledoit_wolf,-0.005715277193307437
504,9,2017-03-03,ledoit_wolf,-0.004610785070428618
504,9,2017-03-06,ledoit_wolf,-0.005614511593351207
504,9,2017-03-07,ledoit_wolf,-0.0015382086754832784
504,9,2017-03-08,ledoit_wolf,-0.0008522412553824878
504,9,2017-03-09,ledoit_wolf,-0.0005219264550354189
504,9,2017-03-10,ledoit_wolf,0.005310317909220771
504,9,2017-03-13,ledoit_wolf,0.007294872188270853
504,9,2017-03-14,ledoit_wolf,0.0015433415415159696
504,9,2017-03-15,ledoit_wolf,0.0032121210958362956
504,9,2017-03-16,ledoit_wolf,-0.011542867976881616
504,9,2017-03-17,ledoit_wolf,0.013838966314927583
504,9,2017-03-20,ledoit_wolf,0.005151900559783715
504,9,2017-03-21,ledoit_wolf,-0.004374689842292035
504,9,2017-03-22,ledoit_wolf,0.008891605899542455
504,9,2017-03-23,ledoit_wolf,0.0016562380768894232
504,9,2017-03-24,ledoit_wolf,-0.001145433242655041
504,9,2017-03-27,ledoit_wolf,-0.003234095562619918
504,9,2017-03-28,ledoit_wolf,0.0019939102189840915
504,9,2017-03-29,ledoit_wolf,0.005626074855049733
504,9,2017-03-30,ledoit_wolf,-0.005572342261048825
504,9,2017-03-31,ledoit_wolf,-0.0010947254907393285
504,9,2017-04-03,ledoit_wolf,1.6226896116060957e-05
504,9,2017-04-04,ledoit_wolf,0.0019350021935191277
504,9,2017-04-05,ledoit_wolf,-0.0001517137429842577
504,9,2017-04-06,ledoit_wolf,-0.0007714874488259848
504,9,2017-04-07,ledoit_wolf,-0.0004390544834264917
504,9,2017-04-10,ledoit_wolf,0.007673485627783978
504,9,2017-04-12,ledoit_wolf,-0.0004634432910288241
504,9,2017-04-13,ledoit_wolf,-0.004033536999396197
504,9,2017-04-17,ledoit_wolf,0.005042046634663096
504,9,2017-04-18,ledoit_wolf,-0.0025866349838808223
504,9,2017-04-19,ledoit_wolf,0.004532427565700039
504,9,2017-04-20,ledoit_wolf,0.005195941701399539
504,9,2017-04-21,ledoit_wolf,-0.0014578655538279887
504,9,2017-04-24,ledoit_wolf,-0.0017052190560471435
504,9,2017-04-25,ledoit_wolf,0.005028460887785085
504,9,2017-04-26,ledoit_wolf,0.0010334898753580522
504,9,2017-04-27,ledoit_wolf,8.11412729915049e-05
504,9,2017-04-28,ledoit_wolf,-0.006556240416649449
504,9,2017-05-02,ledoit_wolf,-0.00043787205231932505
504,9,2017-05-03,ledoit_wolf,0.0026932106977386495
504,9,2017-05-04,ledoit_wolf,0.008658919151488767
504,9,2017-05-05,ledoit_wolf,0.0038352898365997526
504,9,2017-05-08,ledoit_wolf,-0.0046542141705975554
504,9,2017-05-09,ledoit_wolf,0.007459884217646997
504,9,2017-05-10,ledoit_wolf,8.992061105090723e-05
504,9,2017-05-11,ledoit_wolf,-0.0008386173618177483
504,9,2017-05-12,ledoit_wolf,-0.004990462385136057
504,9,2017-05-16,ledoit_wolf,-0.004650822774645629
504,9,2017-05-18,ledoit_wolf,0.0053342860589883434
504,9,2017-05-19,ledoit_wolf,0.010124917018934008
504,9,2016-11-10,oas_shrinkage,-0.0027451987801677003
504,9,2016-11-11,oas_shrinkage,0.008747815371131926
504,9,2016-11-14,oas_shrinkage,-0.002524699194476943
504,9,2016-11-15,oas_shrinkage,-0.0002959204984107855
504,9,2016-11-16,oas_shrinkage,0.010100923260805665
504,9,2016-11-17,oas_shrinkage,0.0065789024472978856
504,9,2016-11-18,oas_shrinkage,-0.005961206112822716
504,9,2016-11-21,oas_shrinkage,-0.0006983929050213297
504,9,2016-11-22,oas_shrinkage,-0.00575414471669901
504,9,2016-11-23,oas_shrinkage,0.0007127138839696659
504,9,2016-11-25,oas_shrinkage,0.006876680111270775
504,9,2016-11-28,oas_shrinkage,-0.005668277901246223
504,9,2016-11-29,oas_shrinkage,-0.0020169772886065532
504,9,2016-11-30,oas_shrinkage,-0.00898920495940552
504,9,2016-12-01,oas_shrinkage,-0.009777197950010759
504,9,2016-12-02,oas_shrinkage,0.007619243814993942
504,9,2016-12-05,oas_shrinkage,0.00019732090197248912
504,9,2016-12-06,oas_shrinkage,0.0019458927297688212
504,9,2016-12-07,oas_shrinkage,0.009080909767464411
504,9,2016-12-08,oas_shrinkage,-0.0036626931984427382
504,9,2016-12-09,oas_shrinkage,0.013800341312291072
504,9,2016-12-12,oas_shrinkage,0.0057319964131957
504,9,2016-12-13,oas_shrinkage,0.0010004567986050602
504,9,2016-12-14,oas_shrinkage,-0.007393947795225055
504,9,2016-12-15,oas_shrinkage,0.006203320152858335
504,9,2016-12-16,oas_shrinkage,0.003703566393189045
504,9,2016-12-19,oas_shrinkage,0.0005456490160121145
504,9,2016-12-20,oas_shrinkage,-0.00213071692024288
504,9,2016-12-21,oas_shrinkage,-0.0031049017499995856
504,9,2016-12-22,oas_shrinkage,-0.0010109598110317848
504,9,2016-12-23,oas_shrinkage,0.005490174050481442
504,9,2016-12-27,oas_shrinkage,0.003319800738143882
504,9,2016-12-28,oas_shrinkage,-0.00524296171816253
504,9,2016-12-29,oas_shrinkage,0.005852801866412532
504,9,2016-12-30,oas_shrinkage,-0.005137351524163551
504,9,2017-01-03,oas_shrinkage,0.0028283375952557867
504,9,2017-01-04,oas_shrinkage,0.010111418734102807
504,9,2017-01-05,oas_shrinkage,0.003992458730849181
504,9,2017-01-06,oas_shrinkage,0.004764964627124243
504,9,2017-01-09,oas_shrinkage,-0.005319399608934274
504,9,2017-01-10,oas_shrinkage,0.0006793080828372646
504,9,2017-01-11,oas_shrinkage,-0.0015867139321468875
504,9,2017-01-12,oas_shrinkage,0.010094564440714045
504,9,2017-01-13,oas_shrinkage,0.003917677186384124
504,9,2017-01-17,oas_shrinkage,0.005322781245344282
504,9,2017-01-18,oas_shrinkage,0.004580756012707417
504,9,2017-01-19,oas_shrinkage,0.002566339316511508
504,9,2017-01-20,oas_shrinkage,-0.0010846664053446218
504,9,2017-01-23,oas_shrinkage,0.0002160924060238204
504,9,2017-01-24,oas_shrinkage,-0.005098506545031054
504,9,2017-01-25,oas_shrinkage,0.0009801431861721725
504,9,2017-01-26,oas_shrinkage,0.00737637939939943
504,9,2017-01-27,oas_shrinkage,0.0006822937271970424
504,9,2017-01-30,oas_shrinkage,0.0022876053919439407
504,9,2017-01-31,oas_shrinkage,0.010579708818755161
504,9,2017-02-01,oas_shrinkage,-0.002521137357969025
504,9,2017-02-02,oas_shrinkage,0.003940728231983361
504,9,2017-02-03,oas_shrinkage,-0.00279024998238401
504,9,2017-02-06,oas_shrinkage,-0.0005205905155079112
504,9,2017-02-07,oas_shrinkage,0.004638184940451269
504,9,2017-02-08,oas_shrinkage,0.00466185697333851
504,9,2017-02-09,oas_shrinkage,0.004250801154501941
504,9,2017-02-10,oas_shrinkage,-0.0027623534957405306
504,9,2017-02-13,oas_shrinkage,0.003209197518769753
504,9,2017-02-14,oas_shrinkage,-0.0023960286643025467
504,9,2017-02-15,oas_shrinkage,0.005295299548252981
504,9,2017-02-16,oas_shrinkage,0.0055486526295256255
504,9,2017-02-17,oas_shrinkage,0.011608835033085064
504,9,2017-02-22,oas_shrinkage,0.0010459459583304451
504,9,2017-02-23,oas_shrinkage,-0.004253712297827957
504,9,2017-02-24,oas_shrinkage,0.0069535940153662955
504,9,2017-02-27,oas_shrinkage,0.002779544956438484
504,9,2017-02-28,oas_shrinkage,-0.0010161448821402578
504,9,2017-03-01,oas_shrinkage,-0.00188493781508501
504,9,2017-03-02,oas_shrinkage,-0.005600946227711797
504,9,2017-03-03,oas_shrinkage,-0.004520235036385784
504,9,2017-03-06,oas_shrinkage,-0.005802002175780527
504,9,2017-03-07,oas_shrinkage,-0.0016894440167278732
504,9,2017-03-08,oas_shrinkage,-0.0007096644783565092
504,9,2017-03-09,oas_shrinkage,-0.0006457831001919086
504,9,2017-03-10,oas_shrinkage,0.005721166362245918
504,9,2017-03-13,oas_shrinkage,0.007570731635152127
504,9,2017-03-14,oas_shrinkage,0.0016453032244344934
504,9,2017-03-15,oas_shrinkage,0.0031413992987863967
504,9,2017-03-16,oas_shrinkage,-0.011770733765683924
504,9,2017-03-17,oas_shrinkage,0.013410939886254771
504,9,2017-03-20,oas_shrinkage,0.005599693212356883
504,9,2017-03-21,oas_shrinkage,-0.004552143856481539
504,9,2017-03-22,oas_shrinkage,0.009177191151908667
504,9,2017-03-23,oas_shrinkage,0.0017001510684381545
504,9,2017-03-24,oas_shrinkage,-0.0009029717461504653
504,9,2017-03-27,oas_shrinkage,-0.003572176924886114
504,9,2017-03-28,oas_shrinkage,0.0018660809758447314
